"Name","Length"
"Git-2.55.0.5-64-bit.exe","65343712"
"win-4_x64_10.0.18362.0_7.0.0_x64_3.1.2_core.json","33660662"
"win-8_x64_10.0.17763.0_7.0.0_x64_3.1.2_core.json","32967223"
"win-8_x64_10.0.14393.0_7.0.0_x64_3.1.2_core.json","30796461"
"win-8_x64_10.0.17763.0_5.1.17763.316_x64_4.0.30319.42000_framework.json","24690250"
"win-8_x64_10.0.14393.0_5.1.14393.2791_x64_4.0.30319.42000_framework.json","23727309"
"win-48_x64_10.0.17763.0_5.1.17763.316_x64_4.0.30319.42000_framework.json","23653457"
"win-8_x64_6.3.9600.0_4.0_x64_4.0.30319.42000_framework.json","21716676"
"win-8_x64_6.2.9200.0_3.0_x64_4.0.30319.42000_framework.json","21257822"
"win-4_x64_10.0.18362.0_6.2.4_x64_4.0.30319.42000_core.json","17942759"
