"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"aesm_service","0","222","4419207168","16175104","3530752","15744",,,,,,,,,,"Process",,,"8",,,,,"24408",".",,,,"15744","15744","3530752","3530752","178408","178408","4317184","4317184","21381120","21381120","4438536192","143568896",,,"3530752","3530752",,"0",,"System.Diagnostics.ProcessThreadCollection","222","4419207168","124239872","False",,,,"16175104","16175104",,,,,,"aesm_service","0","","True",,
"AppActions","1","361","2272343883776","41906176","13283328","19920","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe","""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe"" -Embedding",,"Microsoft Corporation","5,734375","10.0.26100.9278","10.0.26100.9278","AppActions","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2672","8",,"False","18/09/2026 08:47:58",,"1820",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19920","19920","13283328","13283328","416072","416072","18771968","18771968","51994624","51994624","2272391999488","354299904","True","Normal","13283328","13283328","4095","1",,"System.Diagnostics.ProcessThreadCollection","361","2272343883776","306184192","False",,,,"41906176","41906176",,"System.Diagnostics.ProcessModule (AppActions.exe)","00:00:01.2187500","00:00:05.7343750","00:00:04.5156250","AppActions","0","","True",,
"ApplicationFrameHost","1","458","2203709624320","50913280","15532032","24352","C:\WINDOWS\system32\ApplicationFrameHost.exe","C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding",,"Microsoft Corporation","4,5","10.0.26100.9278 (WinBuild.160101.0800)","10.0.26100.9278","Application Frame Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5716","8",,"False","18/09/2026 08:48:57",,"16868",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","24352","24352","15532032","15532032","563408","563408","19947520","19947520","62869504","62869504","2203726467072","408244224","True","Normal","15532032","15532032","4095","1",,"System.Diagnostics.ProcessThreadCollection","458","2203709624320","391401472","False",,,,"50913280","50913280",,"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","00:00:02.8437500","00:00:04.5000000","00:00:01.6562500","ApplicationFrameHost","2232320","Paramètres","True",,
"AppVShNotify","1","169","2203430039552","10407936","2113536","10264","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe""",,"Microsoft Corporation","0,046875","16.0.20326.20022","16.0.20326.20022","Microsoft Application Virtualization Client Shell Notifier","Microsoft Office","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4168","8",,"False","18/09/2026 10:08:25",,"32848",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","10264","10264","2113536","2113536","155776","155776","2351104","2351104","12136448","12136448","2203437441024","119218176","True","Normal","2113536","2113536","4095","1",,"System.Diagnostics.ProcessThreadCollection","169","2203430039552","111816704","False",,,,"10407936","10407936",,"System.Diagnostics.ProcessModule (AppVShNotify.exe)","00:00:00","00:00:00.0468750","00:00:00.0468750","AppVShNotify","0","","True",,
"audiodg","0","624","2203547152384","27389952","20860928","29080",,,,,"1293,0625",,,,,"Process",,,"8",,,"23/09/2026 09:00:49",,"43212",".",,,,"29080","29080","20860928","20860928","256528","256528","43630592","43630592","54059008","54059008","2203556229120","238006272",,,"20860928","20860928",,"0",,"System.Diagnostics.ProcessThreadCollection","624","2203547152384","228929536","False",,,,"27389952","27389952",,,"00:14:00.9687500","00:21:33.0625000","00:07:32.0937500","audiodg","0","","True",,
"backgroundTaskHost","1","809","2204150444032","92930048","65110016","48584","C:\WINDOWS\system32\backgroundTaskHost.exe","""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppX4cysx6geqxesne414q3jmg552abstf93.mca",,"Microsoft Corporation","40,84375","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Background Task Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5256","8",,"False","18/09/2026 08:42:11",,"7280",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","48584","48584","65110016","65110016","676336","676336","65417216","65417216","123650048","123650048","2204160540672","842317824","True","Normal","65110016","65110016","4095","1",,"System.Diagnostics.ProcessThreadCollection","809","2204150444032","832221184","False",,,,"92930048","92930048",,"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","00:00:15.6562500","00:00:40.8437500","00:00:25.1875000","backgroundTaskHost","0","","True",,
"backgroundTaskHost","1","540","2204020068352","46133248","24518656","28304","C:\WINDOWS\system32\backgroundTaskHost.exe","""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:PremierColorApp.AppX9ctks4m9g7c1x8h61fy1rwh5edmn01n4.mca",,"Microsoft Corporation","7,3125","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Background Task Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5216","8",,"False","18/09/2026 08:41:59",,"15856",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","28304","28304","24518656","24518656","401856","401856","25853952","25853952","53948416","53948416","2204026032128","707809280","True","Normal","24518656","24518656","4095","1",,"System.Diagnostics.ProcessThreadCollection","540","2204020068352","701845504","False",,,,"46133248","46133248",,"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","00:00:03.8125000","00:00:07.3125000","00:00:03.5000000","backgroundTaskHost","0","","True",,
"backgroundTaskHost","1","2287","2272506544128","104792064","28946432","73752","C:\WINDOWS\system32\backgroundTaskHost.exe","""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppX4d0edfjsvrc7wqxdqnvby4ny08p8gype.mca",,"Microsoft Corporation","21,734375","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","Background Task Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5512","8",,"False","22/09/2026 07:56:27",,"29264",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","73752","73752","28946432","28946432","683904","683904","37404672","37404672","116666368","116666368","2272514945024","477245440","True","Normal","28946432","28946432","4095","1",,"System.Diagnostics.ProcessThreadCollection","2287","2272506544128","468844544","False",,,,"104792064","104792064",,"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","00:00:09.7031250","00:00:21.7343750","00:00:12.0312500","backgroundTaskHost","0","","True",,
"cloud-drive-connect","1","175","105086976","10186752","4587520","14960","C:\Users\david\AppData\Local\SynologyDrive\SynologyDrive.app\bin\cloud-drive-connect.exe","C:\Users\david\AppData\Local\SynologyDrive\SynologyDrive.app\bin\cloud-drive-connect.exe  --log_folder log --info_folder . --log_level C:/Users/david/AppData/Local/SynologyDrive/SynologyDrive.app/log_template/syncfolder_c.debug --crash_folder C:/Users/david/AppData/Local/SynologyDrive/crash","System.Diagnostics.Process (cloud-drive-ui)","","3,625","","","","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2804","8",,"False","18/09/2026 08:42:32",,"23780",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","14960","14960","4587520","4587520","207848","207848","4816896","4816896","11833344","11833344","109121536","109121536","True","Normal","4587520","4587520","4095","1",,"System.Diagnostics.ProcessThreadCollection","175","105086976","105086976","False",,,,"10186752","10186752",,"System.Diagnostics.ProcessModule (cloud-drive-connect.exe)","00:00:01.6250000","00:00:03.6250000","00:00:02","cloud-drive-connect","0","","True",,
"cloud-drive-daemon","1","511","156434432","21762048","10108928","26440","C:\Users\david\AppData\Local\SynologyDrive\SynologyDrive.app\bin\cloud-drive-daemon.exe","C:\Users\david\AppData\Local\SynologyDrive\SynologyDrive.app\bin\cloud-drive-daemon.exe  C:/Users/david/AppData/Local/SynologyDrive/data/config/client.conf 7077989","System.Diagnostics.Process (cloud-drive-ui)","","267,59375","","","","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5636","8",,"False","18/09/2026 08:42:35",,"14384",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","26440","26440","10108928","10108928","274056","274056","10481664","10481664","25247744","25247744","163954688","163954688","True","Normal","10108928","10108928","4095","1",,"System.Diagnostics.ProcessThreadCollection","511","156434432","156434432","False",,,,"21762048","21762048",,"System.Diagnostics.ProcessModule (cloud-drive-daemon.exe)","00:01:52.2500000","00:04:27.5937500","00:02:35.3437500","cloud-drive-daemon","0","","True",,
